,checkout_kiosk,return_kiosk,trip_count,checkout_lat,checkout_long,return_lat,return_long
0,Dean Keeton & Speedway,21st & Speedway @PCL,2851,30.28953,-97.73695,30.283,-97.7375
12,21st & Speedway @PCL,21st & Speedway @PCL,792,30.283,-97.7375,30.283,-97.7375
3,22nd & Pearl,21st & Speedway @PCL,1233,30.2853,-97.7467,30.283,-97.7375
5,23rd & Rio Grande,21st & Speedway @PCL,910,30.28728,-97.74495,30.283,-97.7375
9,Nueces & 26th,21st & Speedway @PCL,820,30.29068,-97.74292,30.283,-97.7375
10,Rio Grande & 28th,21st & Speedway @PCL,816,30.293329999999997,-97.74412,30.283,-97.7375
11,UT West Mall @ Guadalupe,21st & Speedway @PCL,812,30.285759999999996,-97.74181,30.283,-97.7375
15,Guadalupe & 21st,21st & Speedway @PCL,716,30.28395,-97.74198,30.283,-97.7375
18,Dean Keeton & Whitis,21st & Speedway @PCL,618,30.2898,-97.74041,30.283,-97.7375
104,21st & University,21st & Speedway @PCL,144,30.283540000000002,-97.73953,30.283,-97.7375
260,11th & Salina,21st & Speedway @PCL,59,30.266379999999998,-97.7214,30.283,-97.7375
58,23rd & San Jacinto @ DKR Stadium,21st & Speedway @PCL,268,30.2856,-97.7335,30.283,-97.7375
234,Capitol Station / Congress & 11th,21st & Speedway @PCL,66,30.2726,-97.74127,30.283,-97.7375
748,East 11th St. & San Marcos,21st & Speedway @PCL,22,30.269679999999997,-97.73074,30.283,-97.7375
191,17th & Guadalupe,21st & Speedway @PCL,80,30.279740000000004,-97.74254,30.283,-97.7375
789,Rosewood & Angelina,21st & Speedway @PCL,21,30.26888,-97.72431,30.283,-97.7375
29,Dean Keeton & Speedway,21st & University,441,30.28953,-97.73695,30.283540000000002,-97.73953
66,21st & Speedway @PCL,21st & University,241,30.283,-97.7375,30.283540000000002,-97.73953
30,22nd & Pearl,21st & University,430,30.2853,-97.7467,30.283540000000002,-97.73953
38,23rd & Rio Grande,21st & University,330,30.28728,-97.74495,30.283540000000002,-97.73953
75,Nueces & 26th,21st & University,197,30.29068,-97.74292,30.283540000000002,-97.73953
33,Rio Grande & 28th,21st & University,401,30.293329999999997,-97.74412,30.283540000000002,-97.73953
107,UT West Mall @ Guadalupe,21st & University,140,30.285759999999996,-97.74181,30.283540000000002,-97.73953
202,Guadalupe & 21st,21st & University,77,30.28395,-97.74198,30.283540000000002,-97.73953
446,Dean Keeton & Whitis,21st & University,38,30.2898,-97.74041,30.283540000000002,-97.73953
205,21st & University,21st & University,75,30.283540000000002,-97.73953,30.283540000000002,-97.73953
200,23rd & San Jacinto @ DKR Stadium,21st & University,78,30.2856,-97.7335,30.283540000000002,-97.73953
541,3rd & West,21st & University,31,30.2678,-97.75189,30.283540000000002,-97.73953
39,Dean Keeton & Speedway,23rd & San Jacinto @ DKR Stadium,326,30.28953,-97.73695,30.2856,-97.7335
17,21st & Speedway @PCL,23rd & San Jacinto @ DKR Stadium,622,30.283,-97.7375,30.2856,-97.7335
162,22nd & Pearl,23rd & San Jacinto @ DKR Stadium,94,30.2853,-97.7467,30.2856,-97.7335
178,23rd & Rio Grande,23rd & San Jacinto @ DKR Stadium,85,30.28728,-97.74495,30.2856,-97.7335
100,Nueces & 26th,23rd & San Jacinto @ DKR Stadium,150,30.29068,-97.74292,30.2856,-97.7335
101,Rio Grande & 28th,23rd & San Jacinto @ DKR Stadium,148,30.293329999999997,-97.74412,30.2856,-97.7335
135,UT West Mall @ Guadalupe,23rd & San Jacinto @ DKR Stadium,107,30.285759999999996,-97.74181,30.2856,-97.7335
103,Guadalupe & 21st,23rd & San Jacinto @ DKR Stadium,146,30.28395,-97.74198,30.2856,-97.7335
152,Dean Keeton & Whitis,23rd & San Jacinto @ DKR Stadium,100,30.2898,-97.74041,30.2856,-97.7335
96,21st & University,23rd & San Jacinto @ DKR Stadium,153,30.283540000000002,-97.73953,30.2856,-97.7335
