,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-12,,100.0,,,,,,1.0143519814956459,15:22:55.836446
1,25000,buy,2020-08-12,,100.0,,,,,,1.0144188282933573,15:22:56.824304
2,50000,buy,2020-08-12,,100.0,,,,,,1.0145316344338686,15:22:58.219963
3,100000,buy,2020-08-12,17.0,83.0,,,,,,1.0147427190844311,15:22:59.587470
4,200000,buy,2020-08-12,41.0,59.0,,,,,,1.0149895578005874,15:23:00.845643
5,500000,buy,2020-08-12,56.0,44.0,,,,,,1.0155447542470495,15:23:01.835569
6,1000000,buy,2020-08-12,62.0,38.0,,,,,,1.0164658330136656,15:23:02.703512
7,1500000,buy,2020-08-12,63.0,35.0,,,,,2.0,1.0174442688514238,15:23:04.080884
8,10000,sell,2020-08-12,71.0,,,,14.0,5.0,10.0,1.015122165790735,15:23:05.315340
9,25000,sell,2020-08-12,88.0,,,,6.0,2.0,4.0,1.0145126843678796,15:23:06.158436
10,50000,sell,2020-08-12,73.0,,,16.0,3.0,6.0,2.0,1.0142946033889484,15:23:06.986522
11,100000,sell,2020-08-12,78.0,,,17.0,1.0,3.0,1.0,1.0140984896853278,15:23:08.388552
12,200000,sell,2020-08-12,80.0,5.0,,9.0,1.0,2.0,3.0,1.013843680674461,15:23:09.777613
13,500000,sell,2020-08-12,68.0,21.0,,6.0,,1.0,4.0,1.013313209285611,15:23:11.269877
14,1000000,sell,2020-08-12,64.0,28.0,,3.0,,1.0,4.0,1.0126319419209266,15:23:12.056540
15,1500000,sell,2020-08-12,52.0,38.0,,6.0,,1.0,3.0,1.011924734065572,15:23:13.521450
16,10000,buy,2020-08-12,,100.0,,,,,,1.014084973190427,15:24:14.381084
17,25000,buy,2020-08-12,,100.0,,,,,,1.0141499020047595,15:24:15.691288
18,50000,buy,2020-08-12,,100.0,,,,,,1.0142594581852713,15:24:17.042356
19,100000,buy,2020-08-12,,100.0,,,,,,1.0144837417804156,15:24:18.358835
20,200000,buy,2020-08-12,32.0,68.0,,,,,,1.0147983974212984,15:24:19.721193
21,500000,buy,2020-08-12,53.0,47.0,,,,,,1.0153904550164201,15:24:21.060696
22,1000000,buy,2020-08-12,60.0,40.0,,,,,,1.016316702055255,15:24:21.805240
23,1500000,buy,2020-08-12,61.0,37.0,,,,,2.0,1.0172931218246861,15:24:22.767914
