,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-09,100.0,,,,,,1.01723090848103,13:20:16.451180
1,25000,buy,2020-08-09,100.0,,,,,,1.0172808321718674,13:20:17.120264
2,50000,buy,2020-08-09,78.0,22.0,,,,,1.017347818855109,13:20:17.934095
3,100000,buy,2020-08-09,65.0,35.0,,,,,1.0174462778489224,13:20:18.767542
4,200000,buy,2020-08-09,58.0,42.0,,,,,1.0176270004155303,13:20:20.084797
5,500000,buy,2020-08-09,51.0,43.0,5.0,,,1.0,1.0181700003502943,13:20:20.694658
6,1000000,buy,2020-08-09,50.0,44.0,3.0,,,3.0,1.0190631797490175,13:20:22.050481
7,1500000,buy,2020-08-09,51.0,45.0,2.0,,,2.0,1.020067577137673,13:20:23.390909
8,10000,sell,2020-08-09,,38.0,,,52.0,10.0,1.0174316097735474,13:20:24.207540
9,25000,sell,2020-08-09,,74.0,,,22.0,4.0,1.01686524567129,13:20:25.494508
10,50000,sell,2020-08-09,18.0,69.0,,,11.0,2.0,1.0166179288494348,13:20:26.110553
11,100000,sell,2020-08-09,34.0,59.0,,,6.0,1.0,1.016428735943538,13:20:27.480523
12,200000,sell,2020-08-09,43.0,54.0,,,3.0,,1.0162042151807384,13:20:28.692442
13,500000,sell,2020-08-09,47.0,51.0,,,2.0,,1.015686459364862,13:20:29.852341
14,1000000,sell,2020-08-09,46.0,52.0,,,1.0,1.0,1.0150128951678856,13:20:31.131490
15,1500000,sell,2020-08-09,46.0,50.0,1.0,,1.0,2.0,1.0143185347446306,13:20:31.780376
16,10000,buy,2020-08-09,100.0,,,,,,1.0174385270541573,13:23:31.219470
17,25000,buy,2020-08-09,99.0,1.0,,,,,1.0174891310413916,13:23:31.818280
18,50000,buy,2020-08-09,75.0,25.0,,,,,1.0175522811165847,13:23:33.259818
19,100000,buy,2020-08-09,63.0,37.0,,,,,1.0176496167281768,13:23:34.044564
20,200000,buy,2020-08-09,57.0,43.0,,,,,1.0178318582824095,13:23:35.496098
21,500000,buy,2020-08-09,51.0,43.0,5.0,,,1.0,1.018370429352381,13:23:36.745699
22,1000000,buy,2020-08-09,50.0,44.0,3.0,,,3.0,1.0192715532485497,13:23:37.572433
23,1500000,buy,2020-08-09,50.0,45.0,2.0,,,3.0,1.0202921593745273,13:23:38.788044
24,10000,sell,2020-08-09,,60.0,,13.0,7.0,20.0,1.0176323805103682,13:23:40.183596
25,25000,sell,2020-08-09,,84.0,,5.0,3.0,8.0,1.0170463073848688,13:23:41.465184
26,50000,sell,2020-08-09,24.0,68.0,,3.0,1.0,4.0,1.0167969015913225,13:23:42.312914
27,100000,sell,2020-08-09,37.0,59.0,,1.0,1.0,2.0,1.0166039138507201,13:23:43.582507
28,200000,sell,2020-08-09,44.0,54.0,,1.0,,1.0,1.0163725471967013,13:23:44.822109
29,500000,sell,2020-08-09,48.0,51.0,,,,1.0,1.0158382265476276,13:23:45.465903
30,1000000,sell,2020-08-09,49.0,50.0,,,,1.0,1.0150722694970817,13:23:46.761488
31,1500000,sell,2020-08-09,48.0,49.0,1.0,,,2.0,1.0143759953524223,13:23:47.487254
32,10000,buy,2020-08-09,100.0,,,,,,1.017382773852721,13:25:14.179243
33,25000,buy,2020-08-09,100.0,,,,,,1.017433290282639,13:25:14.903676
34,50000,buy,2020-08-09,83.0,17.0,,,,,1.017508016990161,13:25:16.278125
35,100000,buy,2020-08-09,67.0,33.0,,,,,1.017613017494191,13:25:17.512003
36,200000,buy,2020-08-09,59.0,41.0,,,,,1.0177989085323629,13:25:18.965182
37,500000,buy,2020-08-09,52.0,42.0,5.0,,,1.0,1.018340982816704,13:25:20.254457
38,1000000,buy,2020-08-09,50.0,44.0,3.0,,,3.0,1.0192417491607386,13:25:20.943461
39,1500000,buy,2020-08-09,51.0,44.0,2.0,,,3.0,1.0202608276252563,13:25:22.430085
40,10000,sell,2020-08-09,,,,,100.0,,1.0242009322121097,13:25:23.669353
41,25000,sell,2020-08-09,,25.0,,,67.0,8.0,1.0203320274843275,13:25:25.023285
42,50000,sell,2020-08-09,,62.0,,,34.0,4.0,1.0184772878169135,13:25:26.351567
43,100000,sell,2020-08-09,26.0,55.0,,,17.0,2.0,1.017462723385495,13:25:27.037654
44,200000,sell,2020-08-09,40.0,50.0,,,9.0,1.0,1.0168544675853972,13:25:27.912025
45,500000,sell,2020-08-09,48.0,50.0,,,1.0,1.0,1.0158512444067336,13:25:29.327380
46,1000000,sell,2020-08-09,48.0,50.0,,,1.0,1.0,1.0150851181871419,13:25:30.212472
47,1500000,sell,2020-08-09,47.0,49.0,,,1.0,3.0,1.014393447399653,13:25:30.981613
