,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-11,,100.0,,,,,,1.016969010666553,19:33:02.094808
1,25000,buy,2020-08-11,,100.0,,,,,,1.0170418136915762,19:33:03.400591
2,50000,buy,2020-08-11,,100.0,,,,,,1.0171645380864665,19:33:04.813417
3,100000,buy,2020-08-11,19.0,81.0,,,,,,1.0173847025333327,19:33:06.221662
4,200000,buy,2020-08-11,39.0,61.0,,,,,,1.0176621756436108,19:33:07.513652
5,500000,buy,2020-08-11,51.0,48.0,,1.0,,,,1.01835021805673,19:33:08.275072
6,1000000,buy,2020-08-11,54.0,42.0,,1.0,,,3.0,1.0194992270922192,19:33:09.685649
7,1500000,buy,2020-08-11,56.0,41.0,,1.0,,,2.0,1.0207596144389537,19:33:10.460402
8,10000,sell,2020-08-11,97.0,,,,,3.0,,1.0167882115100368,19:33:11.846956
9,25000,sell,2020-08-11,99.0,,,,,1.0,,1.0167128355263246,19:33:12.521741
10,50000,sell,2020-08-11,99.0,,,,,1.0,,1.0166145332589835,19:33:13.851314
11,100000,sell,2020-08-11,99.0,1.0,,,,,,1.0164362457750789,19:33:15.576762
12,200000,sell,2020-08-11,79.0,21.0,,,,,,1.016168980924546,19:33:16.823361
13,500000,sell,2020-08-11,65.0,32.0,,,,,3.0,1.015563516333972,19:33:17.977992
14,1000000,sell,2020-08-11,60.0,36.0,,1.0,,,3.0,1.0146982048243893,19:33:19.192603
15,1500000,sell,2020-08-11,58.0,39.0,,1.0,,,2.0,1.013907293266904,19:33:19.844392
16,10000,buy,2020-08-11,,100.0,,,,,,1.0160499070896682,19:34:20.930952
17,25000,buy,2020-08-11,,100.0,,,,,,1.0161168302093477,19:34:21.644543
18,50000,buy,2020-08-11,,100.0,,,,,,1.01622960821847,19:34:22.391753
19,100000,buy,2020-08-11,,100.0,,,,,,1.0164599291473992,19:34:23.122913
20,200000,buy,2020-08-11,10.0,90.0,,,,,,1.0169247199432248,19:34:23.824005
21,500000,buy,2020-08-11,39.0,60.0,,1.0,,,,1.017795035582007,19:34:25.100695
22,1000000,buy,2020-08-11,48.0,49.0,,1.0,,,2.0,1.0189840173098594,19:34:25.858604
23,1500000,buy,2020-08-11,52.0,45.0,,1.0,,,2.0,1.020225869060613,19:34:27.319785
24,10000,sell,2020-08-11,88.0,,,,,2.0,10.0,1.0167689810746492,19:34:28.015901
25,25000,sell,2020-08-11,95.0,,,,,1.0,4.0,1.016708624965843,19:34:29.356034
26,50000,sell,2020-08-11,98.0,,,,,,2.0,1.0166149149326666,19:34:30.100114
27,100000,sell,2020-08-11,99.0,,,,,,1.0,1.0164426611468038,19:34:31.316104
28,200000,sell,2020-08-11,99.0,,,,,,1.0,1.0161045505522754,19:34:32.955468
29,500000,sell,2020-08-11,76.0,20.0,,,,,4.0,1.0153349439526669,19:34:34.106754
30,1000000,sell,2020-08-11,65.0,30.0,,1.0,,,4.0,1.01443687104748,19:34:35.428468
31,1500000,sell,2020-08-11,62.0,34.0,,1.0,,,3.0,1.0136444336422081,19:34:36.068525
32,10000,buy,2020-08-11,,100.0,,,,,,1.0160499057953933,19:35:36.954285
33,25000,buy,2020-08-11,,100.0,,,,,,1.0161168289057405,19:35:37.825129
