,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_mstable,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-13,,90.0,,,,,,10.0,1.021312445199534,08:32:23.054912
1,25000,buy,2020-08-13,,96.0,,,,,,4.0,1.0215415816971507,08:32:24.311741
2,50000,buy,2020-08-13,,98.0,,,,,,2.0,1.0217590666563106,08:32:25.094792
3,100000,buy,2020-08-13,,99.0,,,,,,1.0,1.0221401691446876,08:32:25.882919
4,200000,buy,2020-08-13,19.0,80.0,,,,,,1.0,1.0228240421263632,08:32:26.656700
5,500000,buy,2020-08-13,48.0,47.0,,,,,,5.0,1.02381171558642,08:32:28.504739
6,1000000,buy,2020-08-13,59.0,36.0,,,,,1.0,4.0,1.0250056378125025,08:32:29.390255
7,1500000,buy,2020-08-13,61.0,31.0,,,5.0,,1.0,2.0,1.02623962669777,08:32:30.147247
8,10000,sell,2020-08-13,100.0,,,,,,,,1.0227869482249938,08:32:31.081427
9,25000,sell,2020-08-13,100.0,,,,,,,,1.0227428229871405,08:32:31.673841
10,50000,sell,2020-08-13,100.0,,,,,,,,1.0226695859098325,08:32:32.417022
11,100000,sell,2020-08-13,100.0,,,,,,,,1.022524244140147,08:32:33.147277
12,200000,sell,2020-08-13,100.0,,,,,,,,1.0222380039393324,08:32:34.599367
13,500000,sell,2020-08-13,94.0,6.0,,,,,,,1.021430250035784,08:32:35.260459
14,1000000,sell,2020-08-13,82.0,17.0,,,,,,1.0,1.0203854206035698,08:32:36.699310
15,1500000,sell,2020-08-13,78.0,20.0,,,,,,2.0,1.019507883166068,08:32:38.354546
16,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.0212080429261599,08:33:39.644912
17,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0214914268532302,08:33:40.933500
18,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.021726864995948,08:33:42.436019
19,100000,buy,2020-08-13,,98.0,,,,,,2.0,1.0221166795731764,08:33:43.810578
20,200000,buy,2020-08-13,19.0,79.0,,,,,,2.0,1.0227966779536521,08:33:44.556340
21,500000,buy,2020-08-13,49.0,46.0,,,,,,5.0,1.0237732348154513,08:33:45.866919
22,1000000,buy,2020-08-13,60.0,36.0,,,,,,4.0,1.024962615481764,08:33:47.251478
23,1500000,buy,2020-08-13,62.0,31.0,,,5.0,,,2.0,1.0262038835601426,08:33:48.031225
24,10000,sell,2020-08-13,100.0,,,,,,,,1.0227292722760668,08:33:49.336808
25,25000,sell,2020-08-13,100.0,,,,,,,,1.0226852947013751,08:33:50.806338
26,50000,sell,2020-08-13,100.0,,,,,,,,1.022612302245928,08:33:51.668062
27,100000,sell,2020-08-13,100.0,,,,,,,,1.0224674442259725,08:33:52.454810
28,200000,sell,2020-08-13,100.0,,,,,,,,1.0221821500705222,08:33:53.616437
29,500000,sell,2020-08-13,93.0,7.0,,,,,,,1.0213800708872836,08:33:54.333208
30,1000000,sell,2020-08-13,83.0,17.0,,,,,,,1.0203414002089775,08:33:55.645788
31,1500000,sell,2020-08-13,78.0,20.0,,,,,,2.0,1.0194659210174488,08:33:56.921379
32,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.021177335239689,08:34:57.678917
33,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.02145593266278,08:34:58.673597
34,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.021689527296467,08:35:00.479019
35,100000,buy,2020-08-13,,98.0,,,,,,2.0,1.022077943231276,08:35:01.459705
36,200000,buy,2020-08-13,18.0,80.0,,,,,,2.0,1.0227653272225334,08:35:02.292437
37,500000,buy,2020-08-13,48.0,47.0,,,,,,5.0,1.0237555783899646,08:35:03.407082
38,1000000,buy,2020-08-13,60.0,36.0,,,,,,4.0,1.0249489977640869,08:35:04.241815
39,1500000,buy,2020-08-13,62.0,31.0,,,5.0,,,2.0,1.0261920468576096,08:35:05.541398
40,10000,sell,2020-08-13,100.0,,,,,,,,1.0227323257524237,08:35:06.452105
