,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-10,70.0,,,,,,30.0,1.0230761653304126,12:29:05.123656
1,25000,buy,2020-08-10,88.0,,,,,,12.0,1.0236615201436425,12:29:06.445943
2,50000,buy,2020-08-10,93.0,1.0,,,,,6.0,1.0239611657547334,12:29:07.688864
3,100000,buy,2020-08-10,75.0,22.0,,,,,3.0,1.0242482698887736,12:29:09.159624
4,200000,buy,2020-08-10,66.0,33.0,,,,,1.0,1.024630115378403,12:29:10.604387
5,500000,buy,2020-08-10,61.0,39.0,,,,,,1.0256490602232893,12:29:11.962328
6,1000000,buy,2020-08-10,59.0,41.0,,,,,,1.0273932582543535,12:29:12.974582
7,1500000,buy,2020-08-10,59.0,41.0,,,,,,1.0293604734220592,12:29:14.183272
8,10000,sell,2020-08-10,,,100.0,,,,,1.034056525871817,12:29:15.139827
9,25000,sell,2020-08-10,,,97.0,,,3.0,,1.0260051492078492,12:29:15.762907
10,50000,sell,2020-08-10,13.0,80.0,,,5.0,2.0,,1.0237226980557401,12:29:16.543869
11,100000,sell,2020-08-10,32.0,60.0,,,2.0,6.0,,1.0233361162235894,12:29:18.050897
12,200000,sell,2020-08-10,44.0,52.0,,,1.0,3.0,,1.0228972012097717,12:29:19.350526
13,500000,sell,2020-08-10,50.0,47.0,,,1.0,2.0,,1.0219549473474603,12:29:20.642196
14,1000000,sell,2020-08-10,52.0,46.0,,,,2.0,,1.0206758360962707,12:29:22.047540
15,1500000,sell,2020-08-10,55.0,44.0,,,,1.0,,1.0197367585980766,12:29:23.400412
16,10000,buy,2020-08-10,70.0,,,,,,30.0,1.023547538448534,12:30:24.936243
17,25000,buy,2020-08-10,88.0,,,,,,12.0,1.0242571822669666,12:30:25.868944
18,50000,buy,2020-08-10,86.0,8.0,,,,,6.0,1.024597728811912,12:30:26.617706
19,100000,buy,2020-08-10,71.0,26.0,,,,,3.0,1.0248952410958003,12:30:27.963274
20,200000,buy,2020-08-10,64.0,35.0,,,,,1.0,1.0252941794537778,12:30:29.330836
21,500000,buy,2020-08-10,60.0,40.0,,,,,,1.0263511601148054,12:30:30.063599
22,1000000,buy,2020-08-10,59.0,41.0,,,,,,1.0281612737435328,12:30:31.394174
23,1500000,buy,2020-08-10,58.0,41.0,,1.0,,,,1.0302030478212036,12:30:32.067957
24,10000,sell,2020-08-10,,91.0,,,,9.0,,1.024547492051835,12:30:33.438518
25,25000,sell,2020-08-10,,96.0,,,,4.0,,1.0241716575719821,12:30:34.218267
26,50000,sell,2020-08-10,23.0,75.0,,,,2.0,,1.0239395241178646,12:30:35.588827
