,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-09,100.0,,,,,,,1.0173511317339645,13:26:59.973077
1,25000,buy,2020-08-09,100.0,,,,,,,1.0174017938953215,13:27:00.652911
2,50000,buy,2020-08-09,88.0,12.0,,,,,,1.0174812990207631,13:27:02.061844
3,100000,buy,2020-08-09,69.0,31.0,,,,,,1.017591815643208,13:27:02.978418
4,200000,buy,2020-08-09,60.0,40.0,,,,,,1.0177806409394095,13:27:03.796058
5,500000,buy,2020-08-09,52.0,43.0,,5.0,,,,1.018327051058532,13:27:04.513552
6,1000000,buy,2020-08-09,50.0,44.0,,3.0,,,3.0,1.0192374958325638,13:27:05.452631
7,1500000,buy,2020-08-09,51.0,44.0,,2.0,,,3.0,1.0202549554883709,13:27:06.832630
8,10000,sell,2020-08-09,,74.0,,,,6.0,20.0,1.0170076818350406,13:27:08.226139
9,25000,sell,2020-08-09,,89.0,,,,3.0,8.0,1.0167897884478023,13:27:09.703012
10,50000,sell,2020-08-09,12.0,83.0,,,,1.0,4.0,1.016652632871317,13:27:10.553064
11,100000,sell,2020-08-09,31.0,66.0,,,,1.0,2.0,1.0165094364454181,13:27:11.286206
12,200000,sell,2020-08-09,41.0,58.0,,,,,1.0,1.0163054120796844,13:27:12.001160
13,500000,sell,2020-08-09,46.0,53.0,,,,,1.0,1.0157976014284376,13:27:13.461233
14,1000000,sell,2020-08-09,48.0,51.0,,,,,1.0,1.0150324508921607,13:27:14.224484
15,1500000,sell,2020-08-09,46.0,50.0,,1.0,,,3.0,1.0143461435978618,13:27:15.084616
16,10000,buy,2020-08-09,100.0,,,,,,,1.0173511317339645,13:28:15.871430
17,25000,buy,2020-08-09,100.0,,,,,,,1.0174017938953215,13:28:17.174204
18,50000,buy,2020-08-09,88.0,12.0,,,,,,1.0174812989100768,13:28:17.910563
19,100000,buy,2020-08-09,69.0,31.0,,,,,,1.017591815396066,13:28:19.006608
20,200000,buy,2020-08-09,60.0,40.0,,,,,,1.0177806406152416,13:28:19.681619
21,500000,buy,2020-08-09,52.0,43.0,,5.0,,,,1.0183270506935858,13:28:21.001933
22,1000000,buy,2020-08-09,50.0,44.0,,3.0,,,3.0,1.0192374954279886,13:28:21.701602
23,1500000,buy,2020-08-09,51.0,44.0,,2.0,,,3.0,1.0202549550489233,13:28:22.484378
24,10000,sell,2020-08-09,,77.0,,,,3.0,20.0,1.0168657821022065,13:28:23.782961
25,25000,sell,2020-08-09,,91.0,,,,1.0,8.0,1.016732893737362,13:28:24.461744
26,50000,sell,2020-08-09,12.0,83.0,,,,1.0,4.0,1.016622964050086,13:28:25.128530
27,100000,sell,2020-08-09,32.0,66.0,,,,,2.0,1.0164927625166438,13:28:26.361135
28,200000,sell,2020-08-09,41.0,58.0,,,,,1.0,1.0163054112486543,13:28:27.092899
29,500000,sell,2020-08-09,46.0,53.0,,,,,1.0,1.0157976007049052,13:28:27.775682
30,1000000,sell,2020-08-09,48.0,51.0,,,,,1.0,1.0150324502469268,13:28:28.959302
31,1500000,sell,2020-08-09,46.0,50.0,,1.0,,,3.0,1.0143461430084444,13:28:30.245890
32,10000,buy,2020-08-09,100.0,,,,,,,1.017423770111191,13:29:31.633858
33,25000,buy,2020-08-09,100.0,,,,,,,1.0174746800860368,13:29:32.463787
34,50000,buy,2020-08-09,77.0,23.0,,,,,,1.0175414634278148,13:29:33.731624
35,100000,buy,2020-08-09,64.0,36.0,,,,,,1.0176408751848722,13:29:35.070437
36,200000,buy,2020-08-09,58.0,42.0,,,,,,1.0178245461653297,13:29:36.504807
37,500000,buy,2020-08-09,51.0,44.0,,5.0,,,,1.0183670124110573,13:29:37.757721
38,1000000,buy,2020-08-09,50.0,44.0,,3.0,,,3.0,1.0192838349509403,13:29:39.024873
39,1500000,buy,2020-08-09,51.0,45.0,,2.0,,,2.0,1.0203095460589557,13:29:39.678031
40,10000,sell,2020-08-09,,87.0,,,,3.0,10.0,1.0168610520458488,13:29:40.973281
41,25000,sell,2020-08-09,,95.0,,,,1.0,4.0,1.0167266838846085,13:29:42.392727
42,50000,sell,2020-08-09,24.0,73.0,,,,1.0,2.0,1.0166307922816855,13:29:42.936726
43,100000,sell,2020-08-09,38.0,61.0,,,,,1.0,1.0165133316821722,13:29:43.763298
44,200000,sell,2020-08-09,44.0,56.0,,,,,,1.016324052949525,13:29:45.057187
45,500000,sell,2020-08-09,48.0,52.0,,,,,,1.0158245950166833,13:29:45.839324
46,1000000,sell,2020-08-09,48.0,51.0,,,,,1.0,1.0150591769133028,13:29:47.176956
47,1500000,sell,2020-08-09,47.0,50.0,,1.0,,,2.0,1.0143669200662204,13:29:48.462793
48,10000,buy,2020-08-09,100.0,,,,,,,1.0174243160621141,13:30:49.893001
49,25000,buy,2020-08-09,100.0,,,,,,,1.0174752273654943,13:30:50.819703
50,50000,buy,2020-08-09,77.0,23.0,,,,,,1.0175418850255151,13:30:51.559466
51,100000,buy,2020-08-09,64.0,36.0,,,,,,1.0176412265132837,13:30:52.905036
52,200000,buy,2020-08-09,58.0,42.0,,,,,,1.0178246946072549,13:30:54.372565
53,500000,buy,2020-08-09,51.0,44.0,,5.0,,,,1.0183671464456938,13:30:55.090333
54,1000000,buy,2020-08-09,50.0,44.0,,3.0,,,3.0,1.0192798976369697,13:30:56.557863
55,1500000,buy,2020-08-09,50.0,45.0,,2.0,,,3.0,1.0203001455666545,13:30:57.879930
56,10000,sell,2020-08-09,,78.0,,,,2.0,20.0,1.0168339849348933,13:30:58.722571
57,25000,sell,2020-08-09,,91.0,,,,1.0,8.0,1.0167211499797237,13:30:59.293960
58,50000,sell,2020-08-09,23.0,73.0,,,,,4.0,1.0166253925159088,13:31:00.617626
59,100000,sell,2020-08-09,37.0,61.0,,,,,2.0,1.0165176530536437,13:31:02.490627
60,200000,sell,2020-08-09,44.0,55.0,,,,,1.0,1.016335684988317,13:31:03.196693
61,500000,sell,2020-08-09,47.0,52.0,,,,,1.0,1.0158298249000894,13:31:03.987309
62,1000000,sell,2020-08-09,48.0,51.0,,,,,1.0,1.0150636995857987,13:31:04.631110
63,1500000,sell,2020-08-09,47.0,49.0,,1.0,,,3.0,1.0143752712556786,13:31:06.136965
64,10000,buy,2020-08-09,100.0,,,,,,,1.0174188370293744,13:32:07.573279
65,25000,buy,2020-08-09,100.0,,,,,,,1.0174697275287081,13:32:08.386685
66,50000,buy,2020-08-09,78.0,22.0,,,,,,1.0175376202337414,13:32:09.571761
67,100000,buy,2020-08-09,64.0,36.0,,,,,,1.0176376699732277,13:32:10.955030
68,200000,buy,2020-08-09,58.0,42.0,,,,,,1.0178216002368843,13:32:12.426996
69,500000,buy,2020-08-09,51.0,44.0,,5.0,,,,1.0183643217104124,13:32:13.186864
70,1000000,buy,2020-08-09,50.0,44.0,,3.0,,,3.0,1.019276933319117,13:32:14.003132
71,1500000,buy,2020-08-09,50.0,45.0,,2.0,,,3.0,1.0202969571039149,13:32:14.951658
72,10000,sell,2020-08-09,,79.0,,,,1.0,20.0,1.016815667028241,13:32:15.735908
73,25000,sell,2020-08-09,,92.0,,,,,8.0,1.016710777053502,13:32:17.151085
74,50000,sell,2020-08-09,23.0,73.0,,,,,4.0,1.0166242609147569,13:32:18.574790
75,100000,sell,2020-08-09,37.0,61.0,,,,,2.0,1.0165157561278628,13:32:19.877335
76,200000,sell,2020-08-09,44.0,55.0,,,,,1.0,1.0163335699616247,13:32:21.103809
77,500000,sell,2020-08-09,47.0,52.0,,,,,1.0,1.0158276500506072,13:32:22.411756
78,1000000,sell,2020-08-09,48.0,51.0,,,,,1.0,1.0150616111854043,13:32:23.151484
79,1500000,sell,2020-08-09,47.0,49.0,,1.0,,,3.0,1.014373333982508,13:32:24.802099
80,10000,buy,2020-08-09,100.0,,,,,,,1.0174188370293744,13:33:25.559619
81,25000,buy,2020-08-09,100.0,,,,,,,1.0174697275287081,13:33:26.325373
82,50000,buy,2020-08-09,78.0,22.0,,,,,,1.0175376195167418,13:33:27.694933
83,100000,buy,2020-08-09,64.0,36.0,,,,,,1.0176376687901565,13:33:28.517670
84,200000,buy,2020-08-09,58.0,42.0,,,,,,1.0178215988342625,13:33:29.923219
85,500000,buy,2020-08-09,51.0,44.0,,5.0,,,,1.0183643201710217,13:33:30.668979
86,1000000,buy,2020-08-09,50.0,44.0,,3.0,,,3.0,1.0192769316542196,13:33:31.648667
87,1500000,buy,2020-08-09,50.0,45.0,,2.0,,,3.0,1.0202969552439667,13:33:33.044219
88,10000,sell,2020-08-09,,79.0,,,,1.0,20.0,1.0168156644714539,13:33:33.785981
89,25000,sell,2020-08-09,,92.0,,,,,8.0,1.0167107740911407,13:33:34.568730
90,50000,sell,2020-08-09,23.0,73.0,,,,,4.0,1.0166242585748562,13:33:35.916298
91,100000,sell,2020-08-09,37.0,61.0,,,,,2.0,1.0165157541886067,13:33:36.622071
92,200000,sell,2020-08-09,44.0,55.0,,,,,1.0,1.016333568241375,13:33:37.328845
93,500000,sell,2020-08-09,47.0,52.0,,,,,1.0,1.0158241641815564,13:33:37.997631
