,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_oasis,liquidity_uniswap_v2,liquidity_zero_x,price,time
0,10000,buy,2020-08-10,,,100.0,,,,1.01535315671636,12:09:39.435270
1,25000,buy,2020-08-10,,,100.0,,,,1.0189307778800643,12:09:40.312061
2,50000,buy,2020-08-10,34.0,55.0,,,,11.0,1.0203552858621356,12:09:41.479914
3,100000,buy,2020-08-10,37.0,43.0,,,,20.0,1.0204699482621078,12:09:42.833471
4,200000,buy,2020-08-10,43.0,42.0,,,,15.0,1.0206847745702174,12:09:44.158866
5,500000,buy,2020-08-10,49.0,43.0,,,,8.0,1.0213504875374577,12:09:44.728873
6,1000000,buy,2020-08-10,49.0,41.0,,6.0,,4.0,1.0225786549922926,12:09:45.420782
7,1500000,buy,2020-08-10,52.0,42.0,,4.0,,2.0,1.0239934921194533,12:09:46.098180
8,10000,sell,2020-08-10,100.0,,,,,,1.0194967391986107,12:09:47.277415
9,25000,sell,2020-08-10,84.0,16.0,,,,,1.0194390234986797,12:09:48.003090
10,50000,sell,2020-08-10,69.0,31.0,,,,,1.0193709711308143,12:09:48.718067
11,100000,sell,2020-08-10,62.0,38.0,,,,,1.0192507356375677,12:09:50.063149
12,200000,sell,2020-08-10,58.0,42.0,,,,,1.019021221310752,12:09:50.847019
13,500000,sell,2020-08-10,56.0,44.0,,,,,1.0183657797176393,12:09:52.121905
14,1000000,sell,2020-08-10,55.0,45.0,,,,,1.0173574628243105,12:09:52.970915
15,1500000,sell,2020-08-10,54.0,46.0,,,,,1.016440035282099,12:09:54.175544
16,10000,buy,2020-08-10,5.0,23.0,,,11.0,61.0,1.0200337277228184,12:10:55.054586
17,25000,buy,2020-08-10,35.0,36.0,,,5.0,24.0,1.0201757684612325,12:10:56.440141
18,50000,buy,2020-08-10,45.0,40.0,,,3.0,12.0,1.0202683882691772,12:10:57.298866
19,100000,buy,2020-08-10,43.0,37.0,,,2.0,18.0,1.0203967464846513,12:10:58.144595
20,200000,buy,2020-08-10,48.0,40.0,,,1.0,11.0,1.02060557598424,12:10:59.565140
21,500000,buy,2020-08-10,50.0,41.0,,,1.0,8.0,1.0212647189846464,12:11:00.320897
22,1000000,buy,2020-08-10,49.0,40.0,,6.0,1.0,4.0,1.0224821415525878,12:11:01.558500
23,1500000,buy,2020-08-10,52.0,41.0,,4.0,1.0,2.0,1.023870511572118,12:11:03.047022
24,10000,sell,2020-08-10,65.0,35.0,,,,,1.0193836974924524,12:11:04.164666
25,25000,sell,2020-08-10,59.0,41.0,,,,,1.0193481940608886,12:11:04.955412
26,50000,sell,2020-08-10,57.0,43.0,,,,,1.01929008588814,12:11:05.875117
27,100000,sell,2020-08-10,56.0,44.0,,,,,1.0191750734491911,12:11:07.429618
28,200000,sell,2020-08-10,55.0,45.0,,,,,1.018948717558396,12:11:08.875155
29,500000,sell,2020-08-10,55.0,45.0,,,,,1.0182966421838555,12:11:09.548938
30,1000000,sell,2020-08-10,54.0,46.0,,,,,1.0172918503047572,12:11:10.826530
31,1500000,sell,2020-08-10,54.0,46.0,,,,,1.016376951304334,12:11:11.774225
32,10000,buy,2020-08-10,11.0,28.0,,,,61.0,1.0200692615656428,12:12:12.628713
33,25000,buy,2020-08-10,37.0,39.0,,,,24.0,1.0201932017944373,12:12:13.965284
34,50000,buy,2020-08-10,46.0,42.0,,,,12.0,1.0202801128884815,12:12:14.637069
35,100000,buy,2020-08-10,43.0,37.0,,,,20.0,1.02040507893233,12:12:15.504790
36,200000,buy,2020-08-10,48.0,40.0,,,1.0,11.0,1.020614259121757,12:12:16.542458
37,500000,buy,2020-08-10,50.0,41.0,,,1.0,8.0,1.021273404799629,12:12:17.149263
38,1000000,buy,2020-08-10,49.0,40.0,,6.0,1.0,4.0,1.0224908338840903,12:12:18.439850
39,1500000,buy,2020-08-10,52.0,41.0,,4.0,1.0,2.0,1.023879213287819,12:12:19.621471
40,10000,sell,2020-08-10,65.0,35.0,,,,,1.0193836971081824,12:12:20.965039
41,25000,sell,2020-08-10,59.0,41.0,,,,,1.0193481936121158,12:12:21.741822
42,50000,sell,2020-08-10,57.0,43.0,,,,,1.0192900854198583,12:12:22.367143
43,100000,sell,2020-08-10,56.0,44.0,,,,,1.019175072974835,12:12:23.685993
44,200000,sell,2020-08-10,55.0,45.0,,,,,1.01894871708308,12:12:24.954983
45,500000,sell,2020-08-10,55.0,45.0,,,,,1.0182966417355577,12:12:26.265116
46,1000000,sell,2020-08-10,54.0,46.0,,,,,1.0172918498888202,12:12:27.609874
47,1500000,sell,2020-08-10,54.0,46.0,,,,,1.0163769509239284,12:12:28.443037
